# Cycle: 144, status: ACC, move: ('sh', -0.6171857082349379, 41, 12)
#     Time       Orderp
         0    -0.727764
         1    -0.693843
         2    -0.663858
         3    -0.642167
         4    -0.621991
         5    -0.603547
         6    -0.592094
         7    -0.584182
         8    -0.581507
         9    -0.583254
        10    -0.592041
        11    -0.604288
        12    -0.617186
        13    -0.633474
        14    -0.651238
        15    -0.668520
        16    -0.682329
        17    -0.690959
        18    -0.691591
        19    -0.689481
        20    -0.683479
        21    -0.679040
        22    -0.674715
        23    -0.675682
        24    -0.680144
        25    -0.684958
        26    -0.686714
        27    -0.688850
        28    -0.689682
        29    -0.687344
        30    -0.684125
        31    -0.683357
        32    -0.686910
        33    -0.690183
        34    -0.688787
        35    -0.678966
        36    -0.659987
        37    -0.636580
        38    -0.620590
        39    -0.607929
        40    -0.599507
        41    -0.596778
        42    -0.600832
        43    -0.609440
        44    -0.615253
        45    -0.622172
        46    -0.626577
        47    -0.631156
        48    -0.640595
        49    -0.654476
        50    -0.674770
        51    -0.697177
        52    -0.719893
