# Cycle: 47, status: ACC, move: None
#     Time       Orderp
         0    -0.701887
         1    -0.696502
         2    -0.690498
         3    -0.679801
         4    -0.668410
         5    -0.652287
         6    -0.630678
         7    -0.611336
         8    -0.599577
         9    -0.595578
        10    -0.600001
        11    -0.609766
        12    -0.618245
        13    -0.624768
        14    -0.626860
        15    -0.627053
        16    -0.628265
        17    -0.628051
        18    -0.629564
        19    -0.636374
        20    -0.648368
        21    -0.664523
        22    -0.677511
        23    -0.681977
        24    -0.685485
        25    -0.680949
        26    -0.680123
        27    -0.681772
        28    -0.687766
        29    -0.695251
        30    -0.702464
